dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/ncDR.csv,bert_mole_capsule,0.8845291479820628±0.0,0.8933333333333333±0.0,0.8755656108597285±0.0,0.8844494720965309±0.0,0.9134399880493168±0.0,0.8825541619156214±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/ncDR.csv,bert_mole_dense,0.897982062780269±0.0,0.9±0.0,0.8914027149321267±0.0,0.8957013574660633±0.0,0.9213543396820658±0.0,0.8944381384790011±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/ncDR.csv,bert_mole_attention,0.8845291479820628±0.0,0.8822222222222222±0.0,0.8868778280542986±0.0,0.8845500251382604±0.0,0.911915258058993±0.0,0.8838782412626832±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/ncDR.csv,onehot_mole_capsule,0.8901345291479821±0.0,0.9022222222222223±0.0,0.8778280542986425±0.0,0.8900251382604324±0.0,0.9182571595193594±0.0,0.8878718535469107±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/ncDR.csv,onehot_mole_dense,0.8867713004484304±0.0,0.8555555555555555±0.0,0.8800904977375565±0.0,0.8678230266465561±0.0,0.89816786596445±0.0,0.8683035714285714±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/ncDR.csv,bert_smolemolefusion_capsule,0.5336322869955157±0.0,0.07555555555555556±0.0,1.0±0.0,0.5377777777777778±0.0,0.7575757575757576±0.0,0.6799999999999999±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/ncDR.csv,bert_smolemolefusion_dense,0.8878923766816144±0.0,0.8777777777777778±0.0,0.8981900452488688±0.0,0.8879839115133232±0.0,0.9134785299064694±0.0,0.8881431767337807±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/ncDR.csv,bert_smolemolefusion_attention,0.8778026905829597±0.0,0.8666666666666667±0.0,0.8891402714932126±0.0,0.8779034690799397±0.0,0.9058113378966969±0.0,0.8782122905027933±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/ncDR.csv,bert_chemmolefusion_capsule,0.8934977578475336±0.0,0.8977777777777778±0.0,0.8891402714932126±0.0,0.8934590246354952±0.0,0.9196447039151916±0.0,0.8921679909194098±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/ncDR.csv,bert_chemmolefusion_dense,0.8901345291479821±0.0,0.8955555555555555±0.0,0.8846153846153846±0.0,0.8900854700854701±0.0,0.9172421682173509±0.0,0.8886363636363636±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR1.csv,bert_mole_capsule,0.6417910447761194±0.0,0.9291338582677166±0.0,0.3829787234042553±0.0,0.6560562908359858±0.0,0.7823742231093771±0.0,0.5294117647058824±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR1.csv,bert_mole_dense,0.7761194029850746±0.0,0.6929133858267716±0.0,0.7659574468085106±0.0,0.7294354163176411±0.0,0.81189282635887±0.0,0.7499999999999999±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR1.csv,bert_mole_attention,0.7089552238805971±0.0,0.6614173228346457±0.0,0.75177304964539±0.0,0.7065951862400178±0.0,0.7968897302719589±0.0,0.7310344827586207±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR1.csv,onehot_mole_capsule,0.7611940298507462±0.0,0.7716535433070866±0.0,0.75177304964539±0.0,0.7617132964762383±0.0,0.8337776248779741±0.0,0.7681159420289855±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR1.csv,onehot_mole_dense,0.8097014925373134±0.0,0.7795275590551181±0.0,0.7801418439716312±0.0,0.7798347015133746±0.0,0.8464574675190191±0.0,0.7885304659498208±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR1.csv,bert_smolemolefusion_capsule,0.7649253731343284±0.0,0.7322834645669292±0.0,0.7943262411347518±0.0,0.7633048528508405±0.0,0.8348292420149326±0.0,0.7804878048780488±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR1.csv,bert_smolemolefusion_dense,0.7425373134328358±0.0,0.7007874015748031±0.0,0.7801418439716312±0.0,0.7404646227732171±0.0,0.8195283645029596±0.0,0.7612456747404844±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR1.csv,bert_smolemolefusion_attention,0.7910447761194029±0.0,0.7795275590551181±0.0,0.8014184397163121±0.0,0.7904729993857151±0.0,0.8536572456864614±0.0,0.8014184397163121±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR1.csv,bert_chemmolefusion_capsule,0.75±0.0,0.7086614173228346±0.0,0.7872340425531915±0.0,0.7479477299380131±0.0,0.824587170530327±0.0,0.768166089965398±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR1.csv,bert_chemmolefusion_dense,0.7649253731343284±0.0,0.7401574803149606±0.0,0.7872340425531915±0.0,0.763695761434076±0.0,0.8350038371969939±0.0,0.7789473684210526±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR2.csv,bert_mole_capsule,0.8010204081632653±0.0,0.7810945273631841±0.0,0.8219895287958116±0.0,0.8015420280794977±0.0,0.8449093750182733±0.0,0.8010204081632654±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
